id;PRIX;Marque;MODELE;MOTEUR;ANNEE;CARBURANT;KILOMETRAGE;NoteConsommation;Fiabilite;DureeGarantie;Performance;CoteAttendue;Habitabilite
1681300712-1745;17960;TOYOTA;YARIS III phase 3;1.5 VVT-I 111 DESIGN Y20;2020;Essence;42395;4;3;2;5;2;3
1681300712-1746;47790;MINI;COUNTRYMAN II;1.5 224 COOPER S LONGSTONE;2020;Hybrides;14076;4;3;2;5;2;3
1681300712-1747;45300;MERCEDES;CLASSE A IV;2.0 220 D 190 AMG LINE;2022;Diesel;12060;4;3;2;5;2;3
1681300712-1748;18330;KIA;STONIC phase 2;1.0 T-GDI 100 ACTIVE;2022;Essence;33329;4;3;2;5;2;3
1681300712-1749;16480;TOYOTA;YARIS III phase 3;1.5 HYBRID 100 FRANCE;2020;Hybrides;70350;4;3;2;5;2;3
1681300712-1750;18120;MINI;MINI III 5P;1.5 136 COOPER RED HOT CHILI;2018;Essence;90429;4;3;2;5;2;3
1681300712-1751;52060;MERCEDES;CLASSE A IV;1.3 250 218 PROGRESSIVE LINE;2023;Hybrides;30280;4;3;2;5;2;3
1681300714-1752;54800;CITROEN;C5 AIRCROSS phase 2;1.6 HYBRIDE 225 SHINE PACK;2023;Hybrides;159;4;3;2;5;2;3
1681300714-1753;20720;FIAT;500 III;1.0 HYBRIDE 70 (RED);2023;Essence;4880;4;3;2;5;2;3
1681300714-1754;67830;MASERATI;GHIBLI III;3.0 V6 275 GRANSPORT;2020;Diesel;24662;4;3;2;5;2;3
1681300714-1755;28490;VOLKSWAGEN;TIGUAN II;2.0 TDI 150 CONFORTLINE;2019;Diesel;62480;4;3;2;5;2;3
1681300714-1756;128680;PORSCHE;TAYCAN;79.2kWh 571 4S;2022;electrique;37968;4;3;2;5;2;3
1681300714-1757;87880;BMW;I4 G26;286 M SPORT;2024;electrique;1250;4;3;2;5;2;3
1681300714-1758;32140;PEUGEOT;5008 II;1.5 BLUEHDI 130 GT LINE;2020;Diesel;78812;4;3;2;5;2;3
1681300714-1759;263340;BENTLEY;CONTINENTAL GT III;4.0 V8;2021;Essence;10032;4;3;2;5;2;3
1681300714-1760;26520;PEUGEOT;2008 II;1.2 PURETECH 130 ALLURE PACK;2022;Essence;21369;4;3;2;5;2;3
1681300714-1761;34130;MINI;III 5P;2.0 192 COOPER S HEDDON STREET;2020;Essence;14522;4;3;2;5;2;3
1681300714-1762;15450;RENAULT;MEGANE IV ESTATE;1.5 DCI 115 BUSINESS;2019;Diesel;100017;4;3;2;5;2;3
1681300714-1763;41350;TOYOTA;C-HR phase 2;2.0 HYBRIDE 153 EDITION;2023;Hybrides;9760;4;3;2;5;2;3
1681300714-1764;27800;TOYOTA;PRIUS IV phase 2;1.8 122 DYNAMIC PACK PREMUM;2020;Hybrides;66335;4;3;2;5;2;3
1681300714-1765;74860;MERCEDES;GLC phase 2;2.0 300 D 245 AMG LINE;2021;Diesel;43395;4;3;2;5;2;3
1681300714-1766;28400;MAZDA;CX-5 II phase 2;2.2 SKYACTIV-D 150 DYNAMIQUE;2020;Diesel;41442;4;3;2;5;2;3
1681300714-1767;89020;MERCEDES;CLASSE A IV AMG;2.0 35 306;2024;Essence;9010;4;3;2;5;3.5;3
1681300714-1768;22800;FIAT;DOBLO CARGO III phase 2;1.6 MULTIJET 105;2024;Diesel;12;4;3;2;5;3.5;3
1681300717-1769;41870;CITROEN;E-C4 III;136 FEEL PACK;2023;electrique;159;4;3;2;5;2;3
1681300717-1770;26140;CITROEN;BERLINGO III MULTISPACE;1.5 BLUEHDI 130 SHINE;2020;Diesel;83274;4;3;2;5;2;3
1681300717-1771;74090;BMW;IX1 U11;308 M SPORT;2023;electrique;5300;4;3;2;5;2;3
1681300717-1772;40130;JEEP;RENEGADE phase 2;1.3 T4 190 80TH ANNIVERSARY;2023;Hybrides;9900;4;3;2;5;2;3
1681300717-1773;27350;MINI;III CLUBMAN;1.5 136 COOPER KENSINGTON;2019;Essence;89726;4;3;2;5;2;3
1681300717-1774;41720;VOLVO;XC40;2.0 D3 150 INSCRIPTION LUXE;2020;Diesel;53863;4;3;2;5;2;3
1681300717-1775;64390;DS;9;1.6 E-TENSE 225 PERFORMANCE LINE +;2023;Hybrides;37;4;3;2;5;3.5;3
1681300717-1776;30470;ABARTH;500 II phase 2;1.4 T-JET 165 TURISMO;2021;Essence;15820;4;3;2;5;3.5;3
1681300717-1777;37300;BMW;SERIE 1 F40;1.5 118I 136 M SPORT;2021;Essence;39568;4;3;2;5;2;3
1681300717-1778;83130;BMW;SERIE 2 G42 COUPE;3.0 M240I 374;2023;Essence;8658;4;3;2;5;3.5;3
1681300717-1779;27020;MINI;MINI III 3P;1.5 102 ONE GREENWICH;2022;Essence;87296;4;3;2;5;3.5;3
1681300717-1780;18770;RENAULT;MEGANE IV;1.3 TCE 140 BUSINESS;2020;Essence;102207;4;3;2;5;2;3
1681300717-1781;35690;SUZUKI;VITARA IV phase 2;1.5 DUALJET 102 PACK;2024;Essence;7316;4;3;2;5;2;3
1681300717-1782;74880;AUDI;Q3 II SPORTBACK;2.0 40 200 S LINE;2023;Diesel;108;4;3;2;5;2;3
1681300717-1783;12630;KIA;PICANTO III phase 2;1.0 MPI 67 ACTIVE;2021;Essence;12981;4;3;2;5;2;3
1681300717-1784;21830;BMW;SERIE 1 F20 5 PORTES phase 2;1.5 116D 116 BUSINESS;2018;Diesel;74039;4;3;2;5;2;3
1681300717-1785;39980;VOLKSWAGEN;T-ROC phase 2;1.5 TSI 150 STYLE;2023;Essence;25125;4;3;2;5;2;3
1681300719-1786;22220;PEUGEOT;208 II;1.2 PURETECH 100 ACTIVE PACK;2023;Essence;8560;4;3;2;5;2;3
1681300719-1787;99770;MERCEDES;GLE II;2.9 400 D 330 AMG LINE;2021;Diesel;37656;4;3;2;5;2;3
1681300719-1788;33480;BMW;SERIE 2 F46 GRAN TOURER phase 2;2.0 218DA 150 LUXURY;2022;Diesel;12948;4;3;2;5;2;3
1681300719-1789;17960;CITROEN;C3 III phase 2;1.2 PURETECH 83 SHINE;2023;Essence;11693;4;3;2;5;2;3
1681300719-1790;18960;RENAULT;CLIO V;1.0 TCE 100 INTENS;2020;Essence;52805;4;3;2;5;2;3
1681300719-1791;32170;CITROEN;C4 III;1.2 PURETECH 131 SHINE;2024;Essence;1;4;3;2;5;2;3
1681300719-1792;45490;SEAT;ATECA phase 2;2.0 TDI 150 FR;2022;Diesel;40746;4;3;2;5;2;3
1681300719-1793;38600;BMW;I3 phase 2;42.2kWh AH 170 ILIFE LODGE;2020;electrique;20718;4;3;2;5;2;3
1681300719-1794;89140;BMW;SERIE 4 G22;3.0 M440D 340;2023;Diesel;8400;4;3;2;5;2;3
1681300719-1795;161070;BMW;SERIE 3 G80 M3;3.0 510 M3 COMPETITION;2022;Essence;12400;4;3;2;5;2;3
1681300719-1796;24870;VOLKSWAGEN;GOLF VII phase 2;1.0 TSI 115 CONNECT;2020;Essence;48310;4;3;2;5;2;3
1681300719-1797;38700;TOYOTA;YARIS CROSS;1.5 HYBRIDE 116 GR SPORT;2024;Hybrides;9680;4;3;2;5;2;3
1681300719-1798;199990;MERCEDES;SL;43 AMG SL SPEEDSHIFT MCT 381H 9G;2023;Hybrides;452;4;3;2;5;2;3
1681300719-1799;29370;FORD;PUMA II;1.0 ECOBOOST 125 ST-LINE X;2022;Essence;62133;4;3;2;5;2;3
1681300719-1800;39140;PEUGEOT;3008 II phase 2;1.5 BLUEHDI 130 ALLURE PACK;2023;Diesel;16196;4;3;2;5;2;3
1681300719-1801;27980;SEAT;ATECA;1.5 TSI 150 XCELLENCE;2019;Essence;54861;4;3;2;5;2;3
1681300719-1802;43980;MERCEDES;CLASSE E 5 BREAK;BREAK 400 BUSINESS 4MATIC 9G-TRONIC;2019;Essence;67535;4;3;2;5;2;3
1681300722-1803;27580;BMW;SERIE 2 F45 ACTIVE TOURER phase 2;1.5 225XEA 224 BUSINESS;2018;Hybrides;67850;4;3;2;5;2;3
1681300722-1804;24190;CITROEN;C4 III;1.2 PURETECH 131 FEEL;2022;Essence;23207;4;3;2;5;2;3
1681300722-1805;22590;PEUGEOT;208 II;1.2 PURETECH 100 ACTIVE PACK;2022;Essence;25485;4;3;2;5;2;3
1681300722-1806;44260;MERCEDES;CLA II;2.0 200 D 150 PROGRESSIVE LINE;2023;Diesel;14213;4;3;2;5;2;3
1681300722-1807;13730;CITROEN;C3 III;1.2 PURETECH 82 FEEL BUSINESS;2019;Essence;49500;4;3;2;5;2;3
1681300722-1808;97560;DODGE;CHARGER II;V8 707 SRT HELLCAT;2019;Essence;13875;4;3;2;5;2;3
1681300722-1809;24590;FIAT;500 III;ELECTRIQUE 118 FRANCE EDITION;2021;electrique;17109;4;3;2;5;2;3
1681300722-1810;19890;CITROEN;C3 AIRCROSS;1.2 PURETECH 110 SHINE;2022;Essence;57068;4;3;2;5;2;3
1681300722-1811;57730;PORSCHE;MACAN phase 2;2.0 245;2018;Essence;89145;4;3;2;5;2;3
1681300722-1812;36170;JAGUAR;F-PACE;2.0 180 PRESTIGE;2018;Diesel;88526;4;3;2;5;2;3
1681300722-1813;41230;CITROEN;BERLINGO II MULTISPACE phase 3;1.2 PURETECH 110 SHINE;2020;Essence;2928;4;3;2;5;3.5;3
1681300722-1814;29380;DS;3 CROSSBACK;1.2 PURETECH 130 PERFORMANCE LINE;2023;Essence;12141;4;3;2;5;3.5;3
1681300722-1815;22380;FORD;MONDEO IV phase 2;2.0 ECOBLUE 150 VIGNALE;2019;Diesel;123057;4;3;2;5;2;3
1681300722-1816;25160;PEUGEOT;208 II;1.2 PURETECH 100 STYLE;2023;Essence;11600;4;3;2;5;2;3
1681300722-1817;39780;MINI;III 3P phase 2;2.0 178 COOPER S MINI YOURS;2022;Essence;2498;4;3;2;5;2;3
1681300722-1818;66000;BMW;IX3 G08 phase 2;286 IMPRESSIVE;2023;electrique;36000;4;3;2;5;2;3
1681300722-1819;37070;VOLVO;XC40;2.0 D4 190 R-DESIGN;2019;Diesel;123262;4;3;2;5;2;3
1681300724-1820;27420;PEUGEOT;208 II;1.2 PURETECH 100 ALLURE PACK;2023;Essence;173;4;3;2;5;2;3
1681300724-1821;22430;CITROEN;C3 AIRCROSS;1.6 BLUEHDI 100 FEEL;2020;Diesel;80828;4;3;2;5;3.5;3
1681300724-1822;30220;JEEP;COMPASS II phase 2;1.6 MJET 130 LIMITED;2022;Diesel;37746;4;3;2;5;3.5;3
1681300724-1823;35490;PEUGEOT;308 III SW;1.2 PURETECH 130 ALLURE PACK;2023;Essence;106;4;3;2;5;2;3
1681300724-1824;24180;FORD;FOCUS IV;1.0 ECOBOOST 125 ST LINE;2020;Essence;46338;4;3;2;5;3.5;3
1681300724-1825;53370;MERCEDES;GLA II;1.3 250 218 AMG LINE;2023;Hybrides;27938;4;3;2;5;3.5;3
1681300724-1826;34700;CITROEN;C5 AIRCROSS;1.2 PURETECH 131 SHINE;2021;Essence;71868;4;3;2;5;2;3
1681300724-1827;44780;VOLKSWAGEN;GOLF VIII;2.0 TDI 200 GTD;2023;Diesel;16863;4;3;2;5;2;3
1681300724-1828;25420;NISSAN;QASHQAI II phase 2;1.5 DCI 115 N-CONNECTA;2021;Diesel;40937;4;3;2;5;2;3
1681300724-1829;53730;BMW;X3 G01;2.0 XDRIVE20DA 190 M SPORT;2020;Diesel;55593;4;3;2;5;2;3
1681300724-1830;20450;VOLKSWAGEN;POLO VI;1.6 TDI 95 CONNECT;2020;Diesel;48619;4;3;2;5;2;3
1681300724-1831;40880;BMW;X2 F39;1.5 SDRIVE18I 140 M SPORT;2020;Essence;39105;4;3;2;5;2;3
1681300724-1832;49570;BMW;SERIE 1 F40;2.0 120D 190 M SPORT;2024;Diesel;4320;4;3;2;5;2;3
1681300724-1833;20350;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE PACK;2021;Essence;23975;4;3;2;5;2;3
1681300724-1834;174070;PORSCHE;911 TYPE 992;3.0 450 CARRERA 4S;2021;Essence;25684;4;3;2;5;2;3
1681300724-1835;204580;MERCEDES-AMG;GT 4 PORTES phase 2;3.0 435;2023;Essence;9126;4;3;2;5;2;3
1681300724-1836;28320;FORD;KUGA III;2.0 ECOBLUE 150 TITANIUM;2021;Diesel;34938;4;3;2;5;2;3
1681300727-1837;41870;CITROEN;E-C4 III;136 FEEL PACK;2023;electrique;159;4;3;2;5;2;3
1681300727-1838;27280;PEUGEOT;2008 II;1.2 PURETECH 130 ALLURE;2022;Essence;4852;4;3;2;5;2;3
1681300727-1839;37480;LYNK;& CO 01;1.5 HEV 197;2022;Hybrides;38813;4;3;2;5;2;3
