id;PRIX;Marque;MODELE;MOTEUR;ANNEE;CARBURANT;KILOMETRAGE;NoteConsommation;Fiabilite;DureeGarantie;Performance;CoteAttendue;Habitabilite
1681301144-4658;35650;MAZDA;MX5 IV RF phase 2;1.5 SKYACTIV-G 132 ELEGANCE;2021;Essence;25523;2.5;3;2;5;2;3
1681301146-4659;37440;CITROEN;E-C4 III;136 SHINE;2023;electrique;4200;2.5;3;2;5;2;3
1681301146-4660;30420;SKODA;KAROQ;2.0 TDI 150 SPORTLINE;2020;Diesel;84926;2.5;3;2;5;2;3
1681301146-4661;73760;MERCEDES;EQC;80kWh 400 408 AMG LINE;2021;electrique;63707;2.5;3;2;5;2;3
1681301146-4662;23960;FORD;TRANSIT COURIER phase 2;1.0 100 TREND;2024;Essence;984;2.5;3;2;5;2;3
1681301146-4663;73670;MERCEDES;GLC COUPE phase 2;2.0 300 211 AMG LINE;2021;Hybrides;88690;2.5;3;2;5;2;3
1681301146-4664;58300;AUDI;Q3 II SPORTBACK;2.0 35 150 S LINE;2023;Diesel;108;2.5;3;2;5;2;3
1681301146-4665;71720;BMW;IX3 G08 phase 2;286 IMPRESSIVE;2022;electrique;37215;2.5;3;2;5;3.5;3
1681301146-4666;27010;CITROEN;C5 AIRCROSS;1.2 PURETECH 130 FEEL PACK;2022;Essence;45601;2.5;3;2;5;3.5;3
1681301146-4667;39760;PEUGEOT;3008 II phase 2;1.5 BLUEHDI 130 ROADTRIP;2022;Diesel;21295;2.5;3;2;5;2;3
1681301146-4668;44260;VOLKSWAGEN;T-ROC phase 2;2.0 TDI 150 R-LINE;2023;Diesel;35472;2.5;3;2;5;2;3
1681301146-4669;175430;MERCEDES-AMG;GT ROADSTER;4.0 V8 557 AMG GT C EDITION 50;2019;Essence;27785;2.5;3;2;5;2;3
1681301146-4670;16740;PEUGEOT;2008 phase 2;1.2 PURETECH 130 ALLURE;2017;Essence;89286;2.5;3;2;5;2;3
1681301146-4671;24390;DS;3 CROSSBACK;1.2 PURETECH 100 SO CHIC;2022;Essence;71818;2.5;3;2;5;2;3
1681301146-4672;28260;SEAT;ALHAMBRA II phase 2;2.0 TDI 150 PREMIUM 7;2019;Diesel;170278;2.5;3;2;5;2;3
1681301146-4673;52860;BMW;X3 G01;2.0 XDRIVE20DA 190 LUXURY;2020;Diesel;38204;2.5;3;2;5;3.5;3
1681301146-4674;19180;RENAULT;CLIO V;1.5 DCI 85 ZEN;2021;Diesel;29885;2.5;3;2;5;3.5;3
1681301146-4675;65060;AUDI;S5 II CABRIOLET phase 2;3.0 TFSI 354;2019;Essence;62308;2.5;3;2;5;2;3
1681301149-4676;23650;PEUGEOT;208 II;1.2 PURETECH 100 ALLURE;2023;Essence;165;2.5;3;2;5;3.5;3
1681301149-4677;79920;JAGUAR;E-PACE phase 2;1.5 PHEV 300 R-DYNAMIC SE;2023;Hybrides;20300;2.5;3;2;5;3.5;3
1681301149-4678;35910;BMW;SERIE 1 F40;2.0 118D 150 M SPORT;2022;Diesel;60547;2.5;3;2;5;2;3
1681301149-4679;20980;SKODA;FABIA IV;1.0 TSI 95 STYLE;2023;Essence;6274;2.5;3;2;5;2;3
1681301149-4680;28500;CITROEN;C4 III;1.2 PURETECH 131 FEEL PACK;2023;Essence;15301;2.5;3;2;5;2;3
1681301149-4681;48180;BMW;SERIE 1 F40;1.5 118I 136 EDITION M SPORT PRO;2023;Essence;21234;2.5;3;2;5;2;3
1681301149-4682;38380;BMW;I3 phase 2;42.2kWh AH 170 ILIFE ATELIER;2020;electrique;45588;2.5;3;2;5;2;3
1681301149-4683;31010;RENAULT;CAPTUR II;1.3 TCE 160 R.S. LINE;2023;Essence;929;2.5;3;2;5;2;3
1681301149-4684;334280;FERRARI;ROMA;3.9 620;2021;Essence;24278;2.5;3;2;5;2;3
1681301149-4685;27710;VOLKSWAGEN;T-CROSS;1.0 TSI 115 LOUNGE;2021;Essence;29009;2.5;3;2;5;2;3
1681301149-4686;81720;AUDI;A7 SPORTBACK II;2.0 TFSI 367 COMPETITION;2021;Hybrides;46909;2.5;3;2;5;2;3
1681301149-4687;28400;TOYOTA;COROLLA XII;2.0 HYBRIDE 180 COLLECTION;2020;Hybrides;48952;2.5;3;2;5;2;3
1681301149-4688;73590;MERCEDES;GLC COUPE phase 2;2.0 300 211 AMG LINE;2022;Hybrides;35673;2.5;3;2;5;2;3
1681301149-4689;39990;MINI;COUNTRYMAN II;1.5 HYBRID 224 COOPER S EXQUISITE;2020;Hybrides;77858;2.5;3;2;5;2;3
1681301149-4690;36500;MITSUBISHI;ECLIPSE CROSS phase 2;2.4 PHEV 188 INSTYLE;2022;Hybrides;13625;2.5;3;2;5;2;3
1681301149-4691;16720;CITROEN;C3 III phase 2;1.2 PURETECH 83 YOU!;2023;Essence;110;2.5;3;2;5;2;3
1681301149-4692;50720;AUDI;A6 V;3.0 45 231 BUSINESS EXECUTIVE;2019;Diesel;83697;2.5;3;2;5;2;3
1681301151-4693;23740;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;168;2.5;3;2;5;2;3
1681301151-4694;27120;CITROEN;GRAND C4 SPACETOURER;1.2 PURETECH 130 FEEL;2020;Essence;59714;2.5;3;2;5;2;3
1681301151-4695;17470;FIAT;500 X;1.6 MULTIJET 120 POPSTAR BUSINESS;2019;Diesel;99375;2.5;3;2;5;2;3
1681301151-4696;57700;AUDI;Q3 II;2.0 35 150 S LINE;2023;Diesel;4110;2.5;3;2;5;2;3
1681301151-4697;52920;PEUGEOT;308 III SW;1.6 PHEV 180 ALLURE;2023;Hybrides;7;2.5;3;2;5;2;3
1681301151-4698;28060;BMW;X1 F48;2.0 SDRIVE18D 150 M SPORT;2018;Diesel;63720;2.5;3;2;5;2;3
1681301151-4699;18790;CITROEN;C3 III phase 2;1.2 PURETECH 110 FEEL PACK;2023;Essence;5808;2.5;3;2;5;2;3
1681301151-4700;18990;OPEL;CORSA VI;1.5 DIESEL 102 EDITION BUSINESS;2022;Diesel;40751;2.5;3;2;5;2;3
1681301151-4701;13320;TOYOTA;AYGO II phase 2;1.0 VVT-I 72 X-PLAY X-APP;2020;Essence;6738;2.5;3;2;5;2;3
1681301151-4702;33330;HYUNDAI;KONA;39.2kWh ELECTRIQUE 136 CREATIVE;2021;electrique;22080;2.5;3;2;5;2;3
1681301151-4703;24840;BMW;X1 F48;1.5 SDRIVE16D 116 BUSINESS DESIGN;2019;Diesel;117371;2.5;3;2;5;2;3
1681301151-4704;31120;VOLKSWAGEN;TIGUAN II;2.0 TDI 150 CARAT EXCLUSIVE;2020;Diesel;138925;2.5;3;2;5;2;3
1681301151-4705;23420;ABARTH;500 C II phase 2;1.4 T-JET 145;2022;Essence;19293;2.5;3;2;5;2;3
1681301151-4706;52050;MERCEDES;CLASSE A IV;2.0 200 D 150 AMG LINE;2023;Diesel;6045;2.5;3;2;5;2;3
1681301151-4707;35010;RENAULT;MASTER III phase 3;2.3 DCI 180 GRAND CONFORT;2021;Diesel;45895;2.5;3;2;5;2;3
1681301151-4708;12510;TOYOTA;AYGO II;1.0 VVT-I 69 X-PLAY;2017;Essence;27577;2.5;3;2;5;2;3
1681301151-4709;66980;MERCEDES;CLASSE C IV CABRIOLET phase 2;2.0 220 D 194 AMG LINE;2022;Diesel;10725;2.5;3;2;5;2;3
1681301154-4710;37440;CITROEN;E-C4 III;136 SHINE;2023;electrique;4200;2.5;3;2;5;2;3
1681301154-4711;28270;HYUNDAI;TUCSON III phase 2;1.6 CRDI 136 PREMIUM;2019;Diesel;114267;2.5;3;2;5;3.5;3
1681301154-4712;23850;FIAT;TIPO II CROSS;1.0 FIREFLY 100 (RED);2023;Essence;11;2.5;3;2;5;3.5;3
1681301154-4713;31200;AUDI;A1 phase 2;1.8 TFSI 192 S EDITION;2020;Essence;36572;2.5;3;2;5;2;3
1681301154-4714;118610;MERCEDES;GLE COUPE II;2.0 350 194 AMG LINE;2022;null;59911;2.5;3;2;5;2;3
1681301154-4715;24960;NISSAN;JUKE II;1.0 DIG-T 114 N-CONNECTA;2022;Essence;44564;2.5;3;2;5;2;3
1681301154-4716;20610;PEUGEOT;208 II;1.2 PURETECH 75 ACTIVE BUSINESS;2022;Essence;27616;2.5;3;2;5;2;3
1681301154-4717;13200;RENAULT;CLIO IV phase 2;0.9 TCE 90 TREND;2019;Essence;78781;2.5;3;2;5;2;3
1681301154-4718;77680;MERCEDES;CLASSE A IV AMG;2.0 35 306;2023;Essence;877;2.5;3;2;5;2;3
1681301154-4719;19410;SKODA;FABIA IV;1.0 MPI 80 AMBITION;2023;Essence;9083;2.5;3;2;5;3.5;3
1681301154-4720;29680;DS;7 CROSSBACK;2.0 BLUEHDI 180 BUSINESS;2019;Diesel;97678;2.5;3;2;5;3.5;3
1681301154-4721;36610;PEUGEOT;E-2008 II;50kWh ELECTRIQUE 136 GT;2021;electrique;18909;2.5;3;2;5;2;3
1681301154-4722;76570;MERCEDES;GLC phase 2;2.0 300 194 AMG LINE;2023;null;27793;2.5;3;2;5;3.5;3
1681301154-4723;19780;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2021;Essence;32743;2.5;3;2;5;3.5;3
1681301154-4724;20850;AUDI;A3 III SPORTBACK phase 2;1.6 TDI 116 BUSINESS LINE;2018;Diesel;91487;2.5;3;2;5;2;3
1681301154-4725;28230;PEUGEOT;508 II;2.0 BLUEHDI 160 ALLURE;2020;Diesel;91323;2.5;3;2;5;2;3
1681301154-4726;30110;SEAT;ATECA;1.6 TDI 115 XCELLENCE;2021;Diesel;59267;2.5;3;2;5;2;3
1681301156-4727;23370;PEUGEOT;208 II;1.2 PURETECH 100 STYLE;2023;Essence;165;2.5;3;2;5;2;3
1681301156-4728;27000;BMW;SERIE 2 F45 ACTIVE TOURER phase 2;1.5 216D 116 BUSINESS;2021;Diesel;103388;2.5;3;2;5;2;3
1681301156-4729;42800;FORD;MUSTANG VI COUPE;VI FASTBACK 2.3 ECOBOOST BV6;2017;Essence;37120;2.5;3;2;5;2;3
1681301156-4730;23670;OPEL;CORSA VI;1.2 100 ULTIMATE;2022;Essence;48621;2.5;3;2;5;2;3
1681301156-4731;60900;VOLVO;XC40;1.5 T5 260 ULTIMATE;2023;Hybrides;9810;2.5;3;2;5;2;3
1681301156-4732;38920;MERCEDES;CLASSE A IV;2.0 180 D 116 AMG LINE;2021;Diesel;29312;2.5;3;2;5;2;3
1681301156-4733;31230;MINI;MINI III 3P;1.5 136 COOPER;2022;Essence;5318;2.5;3;2;5;2;3
1681301156-4734;35040;TOYOTA;YARIS CROSS;1.5 116 DESIGN;2023;Hybrides;7140;2.5;3;2;5;2;3
1681301156-4735;13550;RENAULT;KANGOO II EXPRESS phase 2;1.5 DCI 75 SERIE SPECIALE EXTRA RLINK;2018;Diesel;103333;2.5;3;2;5;2;3
1681301156-4736;44160;MERCEDES;GLC COUPE;2.1 250 D 204 SPORTLINE;2018;Diesel;146400;2.5;3;2;5;2;3
1681301156-4737;27810;TOYOTA;RAV 4 IV phase 2;2.5 HYBRIDE 197 EXCLUSIVE;2018;Hybrides;83108;2.5;3;2;5;2;3
1681301156-4738;30610;BMW;SERIE 2 F45 ACTIVE TOURER phase 2;1.5 218I 136 BUSINESS;2020;Essence;52608;2.5;3;2;5;2;3
1681301156-4739;29140;BMW;SERIE 1 F40;2.0 118D 150 EDITION SPORT;2021;Diesel;57601;2.5;3;2;5;2;3
1681301156-4740;15100;OPEL;CROSSLAND X;1.2 130 INNOVATION;2018;Essence;133111;2.5;3;2;5;2;3
1681301156-4741;21370;CITROEN;C4 SPACETOURER;2.0 BLUEHDI 163 SHINE;2020;Diesel;69531;2.5;3;2;5;2;3
1681301156-4742;47120;PEUGEOT;5008 II phase 2;1.5 BLUEHDI 130 GT;2023;Diesel;13570;2.5;3;2;5;2;3
1681301156-4743;14010;FORD;FIESTA VI;1.5 TDCI 86 CONNECT BUSINESS NAV;2021;Diesel;112718;2.5;3;2;5;2;3
1681301159-4744;26600;PEUGEOT;208 II;1.2 PURETECH 100 GT;2023;Essence;168;2.5;3;2;5;2;3
1681301159-4745;18510;CITROEN;C3 AIRCROSS;1.5 BLUEHDI 102 SHINE;2020;Diesel;90643;2.5;3;2;5;2;3
1681301159-4746;33560;PEUGEOT;2008 II;1.5 BLUEHDI 110 ROADTRIP;2023;Diesel;5649;2.5;3;2;5;2;3
1681301159-4747;13360;RENAULT;CLIO V;1.0 SCE 65 LIFE;2020;Essence;3392;2.5;3;2;5;2;3
1681301159-4748;19770;PEUGEOT;308 II phase 2;1.5 BLUEHDI 100 ACTIVE BUSINESS;2020;Diesel;65852;2.5;3;2;5;2;3
1681301159-4749;30400;SKODA;OCTAVIA III COMBI RS phase 2;2.0 TDI 184 RS;2020;Diesel;104008;2.5;3;2;5;2;3
1681301159-4750;26020;CITROEN;C3 AIRCROSS;1.2 PURETECH 131 SHINE;2021;Essence;33941;2.5;3;2;5;2;3
1681301159-4751;347180;FERRARI;ROMA;3.9 620;2021;Essence;3348;2.5;3;2;5;2;3
1681301159-4752;45570;CITROEN;C5 AIRCROSS;1.6 HYBRID 225 SHINE;2023;Hybrides;16502;2.5;3;2;5;2;3
1681301159-4753;56060;BMW;X4 G02;3.0 XDRIVE30DA 265 M SPORT;2020;Diesel;72625;2.5;3;2;5;2;3
1681301159-4754;148480;PORSCHE;718 CAYMAN;4.0 420 GT4;2021;Essence;10340;2.5;3;2;5;2;3
1681301159-4755;23300;PEUGEOT;308 II phase 2;1.2 PURETECH 130 GT PACK;2022;Essence;43354;2.5;3;2;5;2;3
1681301159-4756;18620;CITROEN;C3 III phase 2;1.5 BLUEHDI 102 SHINE;2021;Diesel;54008;2.5;3;2;5;2;3
1681301159-4757;30460;MERCEDES;CLASSE A III phase 2;2.0 220 184 INSPIRATION;2017;Essence;85825;2.5;3;2;5;3.5;3
1681301159-4758;35410;VOLKSWAGEN;T-ROC;1.5 TSI 150 ACTIVE;2022;Essence;24170;2.5;3;2;5;3.5;3
1681301159-4759;48490;MERCEDES;CLASSE A IV;1.3 250 218 AMG LINE;2023;Hybrides;10841;2.5;3;2;5;2;3
1681301159-4760;20320;RENAULT;KADJAR;1.6 DCI 130 INTENS;2019;Diesel;91869;2.5;3;2;5;2;3
1681301161-4761;26620;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;188;2.5;3;2;5;2;3
1681301161-4762;23530;PEUGEOT;308 II phase 2;1.2 PURETECH 130 GT LINE;2020;Essence;73594;2.5;3;2;5;2;3
1681301161-4763;37420;BMW;X1 F48 phase 2;1.5 SDRIVE16D 116 XLINE;2021;Diesel;47573;2.5;3;2;5;2;3
1681301161-4764;42680;PEUGEOT;308 III SW;1.5 BLUEHDI 130 GT;2023;Diesel;12;2.5;3;2;5;2;3
1681301161-4765;29630;MAZDA;CX-30;1.8 SKYACTIV-D 116 INSPIRATION;2020;Diesel;45379;2.5;3;2;5;3.5;3
1681301161-4766;31250;FIAT;500;III E 118CH ICONE PLUS MY22 SERIE PLUS 3+1 NOUVELLE 1 STEP;2023;electrique;5900;2.5;3;2;5;3.5;3
1681301161-4767;122630;PORSCHE;CAYENNE III COUPE;3.0 V6 462 E-HYBRID;2021;Hybrides;55403;2.5;3;2;5;2;3
1681301161-4768;278730;PORSCHE;911 TYPE 992 TARGA;3.0 450 TARGA 4S;2022;Essence;14500;2.5;3;2;5;3.5;3
1681301161-4769;39660;MINI;COUNTRYMAN II;1.5 136 COOPER LONGSTONE;2021;Essence;39494;2.5;3;2;5;3.5;3
1681301161-4770;38380;DS;7 CROSSBACK;1.6 PURETECH 225 PERFORMANCE LINE +;2019;Essence;97800;2.5;3;2;5;2;3
1681301161-4771;51330;SEAT;ATECA phase 2;1.5 TSI 150 FR;2023;Essence;13;2.5;3;2;5;2;3
1681301161-4772;24130;FIAT;TIPO II CROSS;1.0 FIREFLY 100 PLUS;2023;Essence;11;2.5;3;2;5;2;3
1681301161-4773;33380;MAZDA;MX5 IV ST phase 2;1.5 SKYACTIV-G 132 SELECTION;2021;Essence;15394;2.5;3;2;5;2;3
1681301161-4774;14150;CITROEN;C3 III;1.2 PURETECH 82 FEEL;2019;Essence;62097;2.5;3;2;5;2;3
1681301161-4775;43650;TOYOTA;RAV 4 V;2.5 HYBRID 218 COLLECTION;2020;Hybrides;58688;2.5;3;2;5;2;3
1681301161-4776;92640;JEEP;WRANGLER IV phase 2;2.0 4XE 380 OVERLAND;2023;Hybrides;6;2.5;3;2;5;2;3
1681301161-4777;49580;JEEP;COMPASS II phase 2;1.3 PHEV 190 80TH ANNIVERSARY;2023;Hybrides;12610;2.5;3;2;5;2;3
1681301164-4778;37440;CITROEN;E-C4 III;136 SHINE;2023;electrique;4200;2.5;3;2;5;2;3
1681301164-4779;35770;BMW;X2 F39;2.0 SDRIVE18DA 150 LOUNGE;2020;Diesel;44912;2.5;3;2;5;2;3
1681301164-4780;28340;TOYOTA;C-HR phase 2;1.8 HYBRIDE 98 GRAPHIC;2021;Hybrides;41586;2.5;3;2;5;2;3
1681301164-4781;47150;SKODA;ENYAQ;180 SPORTLINE;2022;electrique;24396;2.5;3;2;5;2;3
1681301164-4782;28280;CITROEN;C4 III;1.2 PURETECH 131 FEEL PACK;2023;Essence;30990;2.5;3;2;5;2;3
1681301164-4783;43070;MERCEDES;GLC;2.1 250 D 204 EXECUTIVE;2019;Diesel;75656;2.5;3;2;5;2;3
1681301164-4784;28120;ALFA;ROMEO GIULIA II;2.2 180 LUSSO;2018;Diesel;100796;2.5;3;2;5;2;3
1681301164-4785;44820;MERCEDES;CLASSE A IV;1.3 180 136 AMG LINE;2023;Essence;21113;2.5;3;2;5;2;3
1681301164-4786;185580;AUDI;RS Q8;4.0 TFSI 600 RS Q8;2022;Essence;33872;2.5;3;2;5;2;3
1681301164-4787;42670;BMW;SERIE 1 F40;1.5 118I 136 M SPORT;2021;Essence;29422;2.5;3;2;5;2;3
1681301164-4788;51020;TESLA;MODEL 3;75kWh 476;2021;electrique;62060;2.5;3;2;5;2;3
1681301164-4789;41010;AUDI;A5 SPORTBACK II;2.0 TDI 190 S LINE;2019;Diesel;147499;2.5;3;2;5;2;3
1681301164-4790;29850;BMW;X1 F48;2.0 SDRIVE18D 150 XLINE;2018;Diesel;93551;2.5;3;2;5;2;3
1681301164-4791;28470;MINI;COUNTRYMAN II;1.5 136 COOPER OAKWOOD;2019;Essence;34957;2.5;3;2;5;2;3
1681301164-4792;20450;BMW;SERIE 1 F20 5 PORTES phase 2;1.5 116D 116 SPORT;2019;Diesel;106899;2.5;3;2;5;2;3
1681301164-4793;26790;PEUGEOT;208 II;1.2 PURETECH 100 ALLURE;2023;Essence;1755;2.5;3;2;5;2;3
1681301164-4794;30810;MERCEDES;CLASSE B III;1.3 180 136 AMG LINE;2020;Essence;74803;2.5;3;2;5;2;3
1681301166-4795;23650;PEUGEOT;208 II;1.2 PURETECH 100 ALLURE;2023;Essence;165;2.5;3;2;5;2;3
1681301166-4796;56740;MERCEDES;CLASSE A IV phase 2;2.0 180 D 116 AMG LINE;2024;Diesel;9945;2.5;3;2;5;2;3
1681301166-4797;22380;VOLKSWAGEN;T-CROSS;1.6 TDI 95 LOUNGE BUSINESS;2020;Diesel;76426;2.5;3;2;5;2;3
1681301166-4798;94480;MERCEDES;CLASSE E V COUPE phase 2;2.0 220 D 194 AMG LINE;2023;Diesel;9520;2.5;3;2;5;2;3
1681301166-4799;38260;MERCEDES;CLASSE A IV;2.0 200 D 150 AMG LINE;2020;Diesel;63585;2.5;3;2;5;2;3
1681301166-4800;23140;PEUGEOT;3008 II;2.0 BLUEHDI 150 GT LINE;2018;Diesel;99929;2.5;3;2;5;2;3
1681301166-4801;53550;MERCEDES;CLASSE B III;1.3 250 160 AMG LINE EDITION;2021;Hybrides;34709;2.5;3;2;5;2;3
1681301166-4802;48770;VOLVO;XC40;1.5 T5 262 INSCRIPTION;2021;Hybrides;31535;2.5;3;2;5;2;3
1681301166-4803;18440;CITROEN;C3 III;1.2 PURETECH 82 FEEL BUSINESS;2020;Essence;19053;2.5;3;2;5;3.5;3
1681301166-4804;25390;BMW;SERIE 2 F46 GRAN TOURER;2.0 218DA 150 BUSINESS DESIGN;2017;Diesel;70406;2.5;3;2;5;3.5;3
1681301166-4805;43180;PEUGEOT;BOXER II phase 2;2.2 BLUEHDI 140;2023;Diesel;12;2.5;3;2;5;2;3
1681301166-4806;376050;FERRARI;F8 TRIBUTO;3.9 720;2022;Essence;1635;2.5;3;2;5;2;3
1681301166-4807;68800;BMW;X3 G01 phase 2;2.0 292 X LINE;2022;Hybrides;29004;2.5;3;2;5;2;3
1681301166-4808;18220;FIAT;500 II phase 2;1.0 HYBRIDE 70 CULT;2024;Essence;11;2.5;3;2;5;2;3
1681301166-4809;16930;RENAULT;MEGANE IV;1.2 TCE 100 BUSINESS;2019;Essence;64451;2.5;3;2;5;2;3
1681301166-4810;39660;TOYOTA;YARIS CROSS;1.5 116 DESIGN;2024;Hybrides;6150;2.5;3;2;5;2;3
1681301166-4811;18340;CITROEN;C3 III phase 2;1.5 BLUEHDI 102 SHINE;2021;Diesel;63040;2.5;3;2;5;3.5;3
1681301169-4812;26620;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;188;2.5;3;2;5;3.5;3
1681301169-4813;53550;AUDI;S3 III SPORTBACK phase 2;2.0 50 300;2020;Essence;68198;2.5;3;2;5;2;3
1681301169-4814;35940;AUDI;Q5 II;2.0 TDI 163 S LINE;2019;Diesel;120151;2.5;3;2;5;3.5;3
1681301169-4815;21070;NISSAN;JUKE II;1.0 DIG-T 117 N-CONNECTA;2021;Essence;66643;2.5;3;2;5;3.5;3
1681301169-4816;63250;BMW;Z4 G29;3.0 M40I 340 M PERFORMANCE;2020;Essence;55556;2.5;3;2;5;2;3
1681301169-4817;27580;PEUGEOT;5008 II;1.5 BLUEHDI 130 ACTIVE BUSINESS;2019;Diesel;135642;2.5;3;2;5;2;3
1681301169-4818;33810;MERCEDES;CLASSE A IV;1.3 180 136 AMG LINE;2022;Essence;44608;2.5;3;2;5;2;3
1681301169-4819;24660;VOLVO;V40 II phase 2;2.0 D3 150 SIGNATURE EDITION;2019;Diesel;86785;2.5;3;2;5;2;3
1681301169-4820;32530;LAND;ROVER RANGE ROVER EVOQUE phase 2;2.0 TD4 150 EXECUTIVE;2019;Diesel;57879;2.5;3;2;5;2;3
1681301169-4821;47100;AUDI;A3 IV SPORTBACK;1.4 40 204 S LINE;2022;Hybrides;4793;2.5;3;2;5;2;3
1681301169-4822;29940;DACIA;DUSTER II phase 2;1.5 DCI 115 JOURNEY;2024;Diesel;1;2.5;3;2;5;2;3
1681301169-4823;26730;RENAULT;CAPTUR II;1.6 E-TECH 145 BUSINESS;2023;Hybrides;13354;2.5;3;2;5;2;3
1681301169-4824;16080;PEUGEOT;308 II;1.2 PURETECH 130 GT LINE;2017;Essence;124534;2.5;3;2;5;2;3
1681301169-4825;18130;FIAT;500 C II phase 2;1.2 69 RIVA;2018;Essence;54001;2.5;3;2;5;2;3
1681301169-4826;30980;PEUGEOT;3008 II;1.6 THP 165 ALLURE BUSINESS;2019;Essence;86665;2.5;3;2;5;2;3
1681301169-4827;47500;DS;7 CROSSBACK;1.6 E-TENSE 300 GRAND CHIC;2021;Hybrides;43354;2.5;3;2;5;2;3
1681301169-4828;24490;PEUGEOT;208 II;1.2 PURETECH 100 GT;2023;Essence;1;2.5;3;2;5;2;3
1681301171-4829;23740;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2023;Essence;168;2.5;3;2;5;2;3
1681301171-4830;29520;VOLKSWAGEN;T-ROC;1.5 TSI 150 R-LINE;2019;Essence;86605;2.5;3;2;5;2;3
1681301171-4831;24790;VOLKSWAGEN;PASSAT VIII SW;1.6 TDI 120 TRENDLINE;2019;Diesel;57343;2.5;3;2;5;2;3
1681301171-4832;19740;CITROEN;C3 AIRCROSS;1.2 PURETECH 110 SHINE PACK;2022;Essence;59755;2.5;3;2;5;2;3
1681301171-4833;15000;MAZDA;2 III;1.5 SKYACTIV-G 90 EXCLUSIVE EDITION;2018;Essence;59481;2.5;3;2;5;2;3
1681301171-4834;18960;CITROEN;C3 III phase 2;1.5 BLUEHDI 102 FEEL PACK;2022;Diesel;52251;2.5;3;2;5;2;3
1681301171-4835;23280;MG;ZS phase 2;1.5 106 LUXURY;2023;Essence;8000;2.5;3;2;5;2;3
1681301171-4836;25060;PEUGEOT;208 phase 2;1.2 PURETECH 110 ALLURE;2020;Essence;26374;2.5;3;2;5;2;3
1681301171-4837;24650;PEUGEOT;3008 II;1.2 PURETECH 130 ALLURE;2017;Essence;59093;2.5;3;2;5;2;3
1681301171-4838;19230;RENAULT;CLIO V;1.5 DCI 115 INTENS;2021;Diesel;56767;2.5;3;2;5;2;3
1681301171-4839;37070;MAZDA;MX5 IV ST;1.5 SKYACTIV-G 132 EUNOS EDITION;2021;Essence;3920;2.5;3;2;5;2;3
1681301171-4840;20500;CITROEN;C3 III phase 2;1.2 PURETECH 110 SHINE;2022;Essence;26388;2.5;3;2;5;2;3
1681301171-4841;63250;MERCEDES;GLC AMG;3.0 43 367 AMG;2017;Essence;74152;2.5;3;2;5;2;3
1681301171-4842;24360;OPEL;GRANDLAND X;1.6 DIESEL 120 BUSINESS EDITION;2019;Diesel;95611;2.5;3;2;5;2;3
1681301171-4843;16500;RENAULT;CLIO IV phase 2;0.9 TCE 90 INTENS;2020;Essence;65490;2.5;3;2;5;2;3
1681301171-4844;19100;TOYOTA;YARIS 3;DYNAMIC 1.5 HYBRID 100CH AUTOMATIQUE;2019;Hybrides;23520;2.5;3;2;5;2;3
1681301171-4845;46560;VOLVO;XC60 II;2.0 D5 235 R-DESIGN;2019;Diesel;88838;2.5;3;2;5;2;3
1681301174-4846;23370;PEUGEOT;208 II;1.2 PURETECH 100 STYLE;2023;Essence;165;2.5;3;2;5;2;3
1681301174-4847;26640;MINI;III 3P;1.5 136 COOPER EDITION 60 YEARS;2020;Essence;27713;2.5;3;2;5;2;3
1681301174-4848;51120;AUDI;A3 IV SPORTBACK;2.0 35 150 DESIGN LUXE;2024;Diesel;545;2.5;3;2;5;2;3
1681301174-4849;171490;DODGE;RAM;1500 6.2 V8 TRX;2023;Essence;22;2.5;3;2;5;3.5;3
1681301174-4850;78640;AUDI;SQ7 phase 2;4.0 TDI 435;2018;Diesel;157516;2.5;3;2;5;3.5;3
1681301174-4851;31460;TOYOTA;C-HR;DESIGN 1.8 HYBRID 122CH AUTOMATIQUE;2024;Hybrides;11;2.5;3;2;5;2;3
1681301174-4852;22300;FORD;FOCUS IV SW;1.5 ECOBLUE 120 ST LINE;2021;Diesel;61465;2.5;3;2;5;2;3
1681301174-4853;31050;VOLKSWAGEN;GOLF VII phase 2;2.0 TDI 184 GTD;2020;Diesel;87189;2.5;3;2;5;2;3
1681301174-4854;29860;PEUGEOT;208 II;1.2 PURETECH 100 GT PACK;2023;Essence;12616;2.5;3;2;5;2;3
1681301174-4855;57660;MERCEDES;GLE COUPE;3.0 450 367 AMG;2017;Essence;119889;2.5;3;2;5;2;3
1681301174-4856;37420;VOLVO;V60 II;2.0 D4 190 INSCRIPTION;2019;Diesel;71253;2.5;3;2;5;2;3
1681301174-4857;27760;VOLKSWAGEN;T-CROSS;1.0 TSI 110 ACTIVE;2022;Essence;20708;2.5;3;2;5;3.5;3
1681301174-4858;12420;FORD;FIESTA VI;1.1 75 COOL & CONNECT;2021;Essence;63173;2.5;3;2;5;3.5;3
1681301174-4859;35070;OPEL;GRANDLAND X;1.2 131 ELEGANCE BUSINESS;2022;Essence;18;2.5;3;2;5;2;3
